festivalId,year,date,month,paksha,tithi,location,sourceUrl,verified,reviewNotes
NAVALDAS_JI_UTSAV,2030,2030-06-10,JYESHTHA,SHUKLA,9,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=10/06/2030,true,Drik Panchang Vrindavan Gregorian month grid: June 2030; lunar range Jyeshtha - Ashadha 2087; cell tithi Navami Shukla; sunrise-day calendar.
MOHINI_NIKUNJ_TATIYA_STHAN_UTSAV,2030,2030-06-12,JYESHTHA,SHUKLA,11,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=12/06/2030,true,Drik Panchang Vrindavan Gregorian month grid: June 2030; lunar range Jyeshtha - Ashadha 2087; cell tithi Ekadashi Shukla; sunrise-day calendar.
VARTAMAN_VIRAJMAN_GADDI_MAHOTSAV,2030,2030-06-25,ASHADH,KRISHNA,10,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=25/06/2030,true,Drik Panchang Vrindavan Gregorian month grid: June 2030; lunar range Jyeshtha - Ashadha 2087; cell tithi Dashami Krishna; sunrise-day calendar.
BIHARINIDEVJI_JHULANOTSAV,2030,2030-08-02,SHRAVAN,SHUKLA,3,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=02/08/2030,true,Drik Panchang Vrindavan Gregorian month grid: August 2030; lunar range Shravana - Bhadrapada 2087; cell tithi Tritiya Shukla; sunrise-day calendar.
RADHASHTAMI,2030,2030-09-05,BHADRAPAD,SHUKLA,8,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=05/09/2030,true,Drik Panchang Vrindavan Gregorian month grid: September 2030; lunar range Bhadrapada - Ashwina 2087; cell tithi Ashtami Shukla; sunrise-day calendar.
DUSSEHRA_UTSAV,2030,2030-10-06,ASHWIN,SHUKLA,10,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=06/10/2030,true,Drik Panchang Vrindavan Gregorian month grid: October 2030; lunar range Ashwina - Kartika 2087; cell tithi Dashami Shukla; sunrise-day calendar.
SARASOTSAV,2030,2030-10-11,ASHWIN,SHUKLA,15,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=11/10/2030,true,Drik Panchang Vrindavan Gregorian month grid: October 2030; lunar range Ashwina - Kartika 2087; cell tithi Purnima Shukla; sunrise-day calendar.
ANANTKOOT_MAHOTSAV,2030,2030-11-18,AGAHAN,KRISHNA,8,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=18/11/2030,true,Drik Panchang Vrindavan Gregorian month grid: November 2030; lunar range Kartika - Margashirsha 2087; cell tithi Ashtami Krishna; sunrise-day calendar.
RANCHHODDAS_JI_UTSAV,2030,2030-11-22,AGAHAN,KRISHNA,12,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=22/11/2030,true,Drik Panchang Vrindavan Gregorian month grid: November 2030; lunar range Kartika - Margashirsha 2087; cell tithi Dwadashi Krishna; sunrise-day calendar.
BIHAR_PANCHAMI,2030,2030-11-29,AGAHAN,SHUKLA,5,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=29/11/2030,true,Drik Panchang Vrindavan Gregorian month grid: November 2030; lunar range Kartika - Margashirsha 2087; cell tithi Panchami Shukla; sunrise-day calendar.
JAGRAN_UTSAV,2031,2031-01-19,MAGH,KRISHNA,11,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=19/01/2031,true,Drik Panchang Vrindavan Gregorian month grid: January 2031; lunar range Pausha - Magha 2087; cell tithi Ekadashi Krishna; sunrise-day calendar.
HARIPRASAD_DEVJI_PRAKATYOTSAV,2031,2031-01-27,MAGH,SHUKLA,5,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=27/01/2031,true,Drik Panchang Vrindavan Gregorian month grid: January 2031; lunar range Pausha - Magha 2087; cell tithi Panchami Shukla; sunrise-day calendar.
RADHACHARANDAS_JI_PRAKATYOTSAV,2031,2031-03-19,CHAITRA,KRISHNA,11,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=19/03/2031,true,Drik Panchang Vrindavan Gregorian month grid: March 2031; lunar range Phalguna 2087 - Chaitra 2088; cell tithi Ekadashi Krishna; sunrise-day calendar.
PHOOL_DOL_EKADASHI,2031,2031-04-03,CHAITRA,SHUKLA,11,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=03/04/2031,true,Drik Panchang Vrindavan Gregorian month grid: April 2031; lunar range Chaitra - Vaishakha 2088; cell tithi Ekadashi Shukla; sunrise-day calendar.
AKSHAY_TRITIYA_CHARAN_DARSHAN,2031,2031-04-24,VAISHAKH,SHUKLA,3,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=24/04/2031,true,Drik Panchang Vrindavan Gregorian month grid: April 2031; lunar range Chaitra - Vaishakha 2088; cell tithi Tritiya Shukla; sunrise-day calendar.
